"Name","No","District","Address","Telephone","Division1","Division2","Division3","Division4","Division5","Division6","Division7","Division8","Division9","Division10","Division11","Division12","Division13","Division14","Division15","Division16","Division17","Division18","Division19","Division20","Division21","Division22","Division23","Division24","Division25","Division26","Division27","Division28","Division29","Division30","Division31","Remark","twd97X","twd97Y","wgs84aX","wgs84aY"
"國立臺灣大學醫學院附設醫院金山分院","4.31270012E8","金山區","新北市金山區五湖里玉爐路7號","02-24989898","Y","Y","Y","0.0","Y","0.0","Y","0.0","Y","0.0","0.0","0.0","Y","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","Y","313312.75","2790234.64","121.62834400","25.21946900"
"醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","1.131010011E9","板橋區","新北市板橋區南雅南路二段21號及高爾富路300號","02-89667000","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","Y","Y","Y","Y","Y","295657.65","2765556.15","121.45231100","24.99731300"
"板橋中興醫院","1.531010279E9","板橋區","新北市板橋區忠孝路十五號","02-29531919","Y","Y","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296461.46","2766076.63","121.46029200","25.00198700"
"板橋國泰醫院","1.53101131E9","板橋區","新北市板橋區忠孝路五、七、九、十一號一至三樓。","02-29583333","Y","Y","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296440.59","2766073","121.46008500","25.00195500"
"板新醫院","1.531010082E9","板橋區","新北市板橋區中正路１８９號","02-29609955","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296066.49","2767722.3","121.45643400","25.01685700"
"中英醫療社團法人板英醫院","9.31010025E8","板橋區","新北市板橋區文化路1段267、269、271號1-4樓","02-82513923","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296893.92","2767908.89","121.46463800","25.01851600"
"中英醫療社團法人中英醫院","9.31010016E8","板橋區","新北市板橋區文化路一段192之1號1樓、194號1至4樓、196號1至4樓、198號1至4樓、200號1至4樓、202號1至4樓、204號1至4樓","02-22563584","0.0","Y","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","297053.04","2768054.74","121.46622000","25.01982800"
"蕭中正醫院","1.531010108E9","板橋區","新北市板橋區南雅南路一段15號之1、17號、19號(1、2、3、4樓)","02-29687095","Y","Y","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296073.94","2766627.13","121.45647100","25.00696900"
"國泰醫療財團法人汐止國泰綜合醫院","1.131110516E9","汐止區","新北市汐止區建成路59巷2號地下4樓至地上12樓","02-26482121","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","Y","0.0","Y","316691.4","2774012.12","121.66108400","25.07287200"
"瑞芳礦工醫院","1.531120038E9","瑞芳區","新北市瑞芳區一坑路71之2號","02-24974101","0.0","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","330901.38","2778046.96","121.80216900","25.10860200"
"佛教慈濟醫療財團法人台北慈濟醫院","1.131050515E9","新店區","新北市新店區建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓","02-66289779","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","Y","Y","Y","Y","Y","304072.38","2764126.36","121.53561400","24.98412800"
"宏慈療養院","1.531050086E9","新店區","新北市新店區安泰路１５７號","02-22151177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","299288.34","2759070.13","121.48804700","24.93864300"
"新北仁康醫院","1.531051127E9","新店區","新北市新店區安康路2段323號地上1至2樓","02-22152345","Y","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300453.32","2760946.14","121.49965100","24.95554100"
"同仁醫院","1.531050077E9","新店區","新北市新店區民權路８９號","02-29170201","0.0","Y","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","304288.1","2763976.4","121.53774500","24.98276600"
"怡濟慈園醫療社團法人宏濟神經精神科醫院","9.3105001E8","新店區","新北市新店區安忠路57巷5號","02-22118899","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","301895.82","2761324.18","121.51395000","24.95890600"
"天主教耕莘醫療財團法人耕莘醫院","1.231050017E9","新店區","新北市新店區中正路362號","02-22193391","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","0.0","Y","Y","Y","Y","304076.34","2763235.3","121.53561800","24.97608300"
"天主教耕莘醫療財團法人永和耕莘醫院","1.231030015E9","永和區","新北市永和區中興街80號地下1樓至地上6樓及國光路123號地下3樓至地上11樓","02-29286060","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","0.0","Y","302269.18","2767192.65","121.51786900","25.01187400"
"永和復康醫院","1.531031278E9","永和區","新北市永和區中和路575、577、579號1至4樓","02-29240925","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","301683.79","2766311.2","121.51203600","25.00393600"
"瑞祥婦幼醫院","1.531031269E9","永和區","新北市永和區福和路278號2至6樓","02-29235133","0.0","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","302271.9","2766717.31","121.51787800","25.00758200"
"衛生福利部雙和醫院(委託臺北醫學大學興建經營)","1.331040513E9","中和區","新北市中和區中正路291號醫療大樓地下2層至地上12層","02-22490088","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","Y","Y","Y","Y","0.0","Y","299875.54","2765175.7","121.49408100","24.99374500"
"祥顥醫院","1.531041407E9","中和區","新北市中和區景平路412、412之1號1至5樓","02-29468795","0.0","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","301305.79","2765132.22","121.50824800","24.99330500"
"怡和醫院","1.53104139E9","中和區","新北市中和區連城路49號1至4樓","02-22450009","0.0","Y","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300318.84","2766078.58","121.49850600","25.00188200"
"蕙生醫院","1.531041363E9","中和區","新北市中和區中山路二段551號地下一樓至地上一至六樓","02-32346688","0.0","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","298542.69","2766466.36","121.48092300","25.00544100"
"中祥醫院","1.531040259E9","中和區","新北市中和區中山路二段138號〈二至四樓〉?140及142號〈一至四樓〉","02-22405055","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300677.35","2766231.3","121.50206300","25.00324900"
"廣川醫院","1.531130052E9","土城區","新北市土城區裕民路２７４．２７６．２７８號","02-22617000","0.0","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295934.59","2763882.01","121.45499900","24.98219000"
"恩樺醫院","1.531131157E9","土城區","新北市土城區中央路一段7-18號地下1樓、1樓、2樓、4至10樓","02-22639955","0.0","Y","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295299.9","2764876.03","121.44874500","24.99118300"
"仁安醫院","1.531130105E9","土城區","新北市土城區中央路1段六二．六四號1-５樓中華路一段一號2-5樓三號1-5樓","02-22627088","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295163.87","2764690.03","121.44739100","24.98950800"
"新北市立土城醫院(委託長庚醫療財團法人興建經營)","1.131130018E9","土城區","新北市土城區金城路二段6號","02-22630588","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","Y","295303.73","2763242.57","121.44872900","24.97643600"
"元復醫院","1.531131139E9","土城區","新北市土城區中央路2段318．320．322．324號1至4樓","02-22661886","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","294454.65","2762839.36","121.44030700","24.97282100"
"永聖醫療社團法人文化醫院","9.31090014E8","三峽區","新北市三峽區介壽路1段199號","02-26732885","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","288198.65","2758160","121.37821500","24.93074500"
"清福醫院","1.53109113E9","三峽區","新北市三峽區介壽路一段286號2樓","02-26739288","0.0","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","288397.93","2757970.96","121.38018300","24.92903300"
"行天宮醫療志業醫療財團法人恩主公醫院","1.131090019E9","三峽區","新北市三峽區復興路399號、中山路198號","02-26723456","Y","Y","Y","0.0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","Y","Y","Y","Y","286660.45","2759002.03","121.36300800","24.93838500"
"仁愛醫院","1.53107103E9","樹林區","新北市樹林區文化街9號(地下1、2樓及地上1樓至8樓)","02-26834567","Y","Y","Y","0.0","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","292403.4","2764424.17","121.42003900","24.98718800"
"名恩療養院","1.531080226E9","鶯歌區","新北市鶯歌區鶯桃路二段62號及64號1至4樓","02-26701092","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","282801.32","2762853.71","121.32488700","24.97324700"
"宏仁醫院","1.531020122E9","三重區","新北市三重區三和路二段一八六、一八八、一九０、一九二、一九四、一九六號一至四樓","02-29788877","0.0","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300286.49","2773518.19","121.49845600","25.06904800"
"新北市立聯合醫院三重院區","1.31020016E8","三重區","新北市三重區新北大道1段3號、3之1號","02-29829111","Y","Y","Y","0.0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","299521.37","2772609.46","121.49084000","25.06086900"
"新北市立聯合醫院板橋院區","1.31020016E8","板橋區","新北市板橋區英士路198號","02-29829111","Y","Y","Y","0.0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","296192.55","2768478.88","121.45770800","25.02368300"
"三重中興醫院","1.531021165E9","三重區","新北市三重區中興北街二十一號","02-29959680","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","297390.01","2771014.11","121.46966000","25.04653500"
"祐民醫院","1.531021174E9","三重區","新北市三重區重新路二段2號、6號地下1層至地上9層","02-29783456","Y","Y","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300432.22","2772826.16","121.49987600","25.06279500"
"益民醫院","1.53106123E9","新莊區","新北市新莊區中港路127號1-4樓","02-89911050","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295934.89","2770294.96","121.45521500","25.04008700"
"新莊英仁醫院","1.531060073E9","新莊區","新北市新莊區大觀街４６－２號","02-29916363","0.0","Y","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295794.71","2769820.8","121.45381100","25.03581000"
"新泰綜合醫院","1.53106018E9","新莊區","新北市新莊區新泰路141號2-5樓、143號2-5樓、145號、147號、151號、153號、155號、157號、165號、167號、169號","02-29962121","0.0","Y","Y","0.0","Y","Y","Y","Y","0.0","Y","0.0","Y","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295207.86","2769899.99","121.44799800","25.03654300"
"財團法人台灣省私立台北仁濟院附設新莊仁濟醫院","1.431060017E9","新莊區","新北市新莊區中環路1段28號","02-22015222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","294679.24","2768812.03","121.44272400","25.02673600"
"新仁醫療社團法人新仁醫院","9.31060016E8","新莊區","新北市新莊區中正路395號1-5樓、397-3號、397-4號、福海街24巷1號1樓","02-22017212","Y","Y","0.0","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","294396.98","2769966.51","121.439965","25.037168"
"衛生福利部樂生療養院","1.3106001E8","新莊區","新北市新莊區中正路794號及桃園縣龜山鄉萬壽路1段50巷2號","02-82006600","Y","Y","Y","0.0","Y","Y","Y","Y","0.0","Y","0.0","Y","0.0","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","0","0","",""
"大順醫院","1.531060046E9","新莊區","新北市新莊區中正路二一五號一至四樓","02-29912637","0.0","Y","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","295528.08","2769813.81","121.45116800","25.03575500"
"衛生福利部臺北醫院","1.31060029E8","新莊區","新北市新莊區思源路127號","02-22765566","Y","Y","Y","0.0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","Y","296378.37","2770645.79","121.45962200","25.04324100"
"輔仁大學學校財團法人輔仁大學附設醫院","1.33116001E9","泰山區","新北市泰山區貴子路69號(地下4層、地上1至9層及13層)","02-29052526","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","N","293471.18","2770241.3","121.43079900","25.03967500"
"全民醫院","1.531140049E9","蘆洲區","新北市蘆洲區三民路7號","02-22821575","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","297989.25","2774951.52","121.47573600","25.08206300"
"衛生福利部八里療養院","1.31230012E8","八里區","新北市八里區華富山33號、土城區青雲路6號1、2樓、蘆洲區光榮路116號1樓","02-26101660","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","291575.13","2782074.19","121.41236700","25.14655600"
"台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院","1.13110001E9","淡水區","新北市淡水區民生路四十五號、民權路47號B1~10樓","02-28094661","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","0.0","Y","Y","Y","Y","0.0","Y","296430.44","2781312.11","121.46049800","25.13953400"
"北新醫療社團法人北新醫院","9.31100015E8","淡水區","新北市淡水區忠寮里演戲埔腳1之2號","02-26209199","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","297956.81","2787307.75","121.47584700","25.19361400"
"泓安醫院","1.531101113E9","淡水區","新北市淡水區下圭柔山九一巷二號一至四樓．地下一樓","02-26232681","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","294104.8","2789185.56","121.43768700","25.21068500"
"公祥醫院","1.531100027E9","淡水區","新北市淡水區英專路２１巷２５．２７號、中山路３８．４０號","02-26217638","0.0","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","294824.21","2784655.68","121.44467800","25.16976900"
"台安醫院","1.531210019E9","三芝區","新北市三芝區興華里楓子林路四十二之五號、四十二之九號〈一至二樓〉","02-26371600","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300127.27","2787749.93","121.497399","25.197536"
